Chunk	Job Name	Queue	Run	CHSY	SYPD	ASYPD	JPSY	Energy	Footprint
60	a3bo_19900101_fc0_60_SIM	00:02:09	02:19:45	31,304.00	3.43	3.38	0	0	0
61	a3bo_19900101_fc0_61_SIM	00:00:08	02:21:31	31,699.73	3.39	3.39	0	0	0
62	a3bo_19900101_fc0_62_SIM	00:00:15	02:26:06	32,726.40	3.29	3.28	0	0	0
63	a3bo_19900101_fc0_63_SIM	00:00:06	02:33:22	34,354.13	3.13	3.13	0	0	0
64	a3bo_19900101_fc0_64_SIM	00:00:06	02:38:17	35,455.47	3.03	3.03	0	0	0
65	a3bo_19900101_fc0_65_SIM	00:00:08	02:36:27	35,044.80	3.07	3.07	0	0	0
66	a3bo_19900101_fc0_66_SIM	00:01:45	02:37:42	35,324.80	3.04	3.01	0	0	0
67	a3bo_19900101_fc0_67_SIM	00:00:09	02:48:05	37,650.67	2.86	2.85	0	0	0
68	a3bo_19900101_fc0_68_SIM	00:00:18	02:40:20	35,914.67	2.99	2.99	0	0	0
69	a3bo_19900101_fc0_69_SIM	00:00:07	02:38:11	35,433.07	3.03	3.03	0	0	0
70	a3bo_19900101_fc0_70_SIM	00:00:08	02:33:59	34,492.27	3.12	3.11	0	0	0
71	a3bo_19900101_fc0_71_SIM	00:00:09	02:43:59	36,732.27	2.93	2.92	0	0	0
72	a3bo_19900101_fc0_72_SIM	00:00:14	02:31:22	33,906.13	3.17	3.17	0	0	0
73	a3bo_19900101_fc0_73_SIM	00:00:20	02:30:01	33,603.73	3.20	3.19	0	0	0
74	a3bo_19900101_fc0_74_SIM	00:00:18	02:32:39	34,193.60	3.14	3.14	0	0	0
75	a3bo_19900101_fc0_75_SIM	00:00:06	02:31:10	33,861.33	3.18	3.17	0	0	0
