time,TCO319_a3be_1200,TCO319_a3df_900,TCO399_a3bo_900,ERA5
1990-01-15,11.985055035896002,11.940835814441888,11.795970437023811,12.211669921875
1990-02-15,11.979270484282969,12.251130419379743,11.949603114804896,12.45428466796875
1990-03-15,12.98419385875267,12.8717426257053,12.797810989106097,13.481719970703125
1990-04-15,13.907000252263023,13.764341672634108,13.688075764632496,14.30889892578125
1990-05-15,14.699204968583482,14.470508735456216,14.553647964323583,15.2447509765625
1990-06-15,15.12971285915315,15.18996090704267,15.192849633035584,15.79833984375
1990-07-15,15.351491953075575,15.434085776936286,15.456474795611598,16.15142822265625
1990-08-15,15.3248808143195,15.180276770594864,15.226266514261587,15.945556640625
1990-09-15,14.593724245966124,14.693442057569845,14.707858968277796,15.215576171875
1990-10-15,13.628589778579794,13.633672633425666,13.750879201246448,14.2879638671875
1990-11-15,12.610852086823456,12.214245572593086,12.473675570512833,13.24981689453125
1990-12-15,11.80504364386824,11.463591916548731,11.602595909793573,12.515899658203125
1991-01-15,11.351466236077272,11.443868482004254,11.440325907726484,12.2760009765625
1991-02-15,11.918772334295037,11.585404453317969,11.709321250425054,12.6065673828125
1991-03-15,12.59791546398776,12.447097222926118,12.560065326110172,13.15594482421875
1991-04-15,13.65900600148988,13.503695325289565,13.66321063032376,14.23870849609375
1991-05-15,14.680959611960398,14.429488453377681,14.40018406438954,15.084716796875
1991-06-15,15.18360904385338,14.993189180564778,15.118350157964377,16.010498046875
1991-07-15,15.49280461977859,15.25633525606247,15.355581756820925,16.181671142578125
1991-08-15,15.390075229403275,15.06645177054842,15.140550538416354,15.971923828125
1991-09-15,14.671082240203418,14.54157173476805,14.477397697962223,15.24432373046875
1991-10-15,13.599950439824434,13.378582634016274,13.461627793094786,14.097869873046875
1991-11-15,12.503813927434408,12.100805113231786,12.147272457508393,13.01202392578125
1991-12-15,11.479213814158015,11.229067582932013,11.138617702045812,12.3282470703125
1992-01-15,11.058891400989788,10.955014871805929,10.876065522960099,12.23150634765625
1992-02-15,11.437156063799458,11.333515154492753,11.465811825264268,12.4786376953125
1992-03-15,12.36485745244041,12.118113129772269,12.272863259368288,13.1617431640625
1992-04-15,13.14953481893368,13.091589376004436,13.19339007525707,13.94189453125
1992-05-15,14.028079804716034,14.035439996110918,13.908718616918994,14.92254638671875
1992-06-15,14.64560914426113,14.537140563192489,14.574255030043446,15.659912109375
1992-07-15,14.829467565038575,14.778336691033738,14.741139351840465,15.7674560546875
1992-08-15,14.722503518204539,14.59488378983614,14.715873675948652,15.62335205078125
1992-09-15,13.951666061130064,14.036665489959242,14.118712034526615,14.8369140625
1992-10-15,12.762453352396088,13.075224658070775,12.909805697295837,13.84466552734375
1992-11-15,11.62327897019376,11.813629002527668,11.774481469516976,12.752532958984375
1992-12-15,10.736653157028703,11.245874318511559,11.148621067234027,12.202056884765625
1993-01-15,10.60263486375724,10.855035838112258,10.908501060120784,12.13409423828125
1993-02-15,11.064350610816254,11.07004346471903,11.315555249092503,12.420806884765625
1993-03-15,12.008144027538,12.024512997735314,12.07112406922196,13.0452880859375
